0	4
0	6
0	8
0	9
0	11
0	15
0	19
0	27
0	28
0	31
0	34
0	36
0	37
0	40
0	44
0	52
0	62
0	64
0	67
0	72
0	73
0	75
0	77
0	80
0	83
0	87
0	92
0	93
0	95
0	97
0	98
1	2
1	41
1	48
2	1
2	10
2	28
3	54
3	63
4	0
4	5
4	6
4	8
4	9
4	11
4	13
4	15
4	19
4	27
4	28
4	29
4	31
4	34
4	36
4	40
4	44
4	52
4	67
4	72
4	75
4	77
4	80
4	83
4	86
4	87
4	92
4	93
4	95
4	97
4	98
5	4
5	25
5	33
6	0
6	4
6	8
6	9
6	11
6	13
6	15
6	19
6	22
6	27
6	28
6	29
6	31
6	34
6	36
6	37
6	44
6	52
6	53
6	58
6	62
6	64
6	72
6	75
6	76
6	77
6	80
6	86
6	92
6	93
6	95
6	97
6	98
7	8
7	9
7	11
7	13
7	15
7	19
7	27
7	28
7	29
7	36
7	37
7	38
7	40
7	44
7	52
7	53
7	60
7	62
7	64
7	67
7	72
7	75
7	77
7	80
7	83
7	86
7	92
7	93
7	95
7	97
7	98
8	0
8	4
8	6
8	7
8	9
8	11
8	13
8	19
8	28
8	29
8	31
8	34
8	36
8	37
8	38
8	40
8	44
8	52
8	53
8	64
8	67
8	72
8	75
8	77
8	80
8	83
8	86
8	87
8	92
8	93
8	95
8	98
9	0
9	4
9	6
9	7
9	8
9	11
9	13
9	14
9	15
9	19
9	27
9	28
9	29
9	31
9	36
9	37
9	38
9	40
9	44
9	45
9	52
9	53
9	62
9	64
9	72
9	73
9	75
9	80
9	83
9	86
9	87
9	92
9	93
9	95
9	97
9	98
10	2
10	47
10	60
11	0
11	4
11	6
11	7
11	8
11	9
11	13
11	15
11	19
11	27
11	28
11	29
11	31
11	34
11	36
11	37
11	38
11	44
11	52
11	53
11	62
11	64
11	67
11	72
11	77
11	80
11	87
11	92
11	97
11	98
12	38
12	45
12	60
12	61
12	78
13	4
13	6
13	7
13	8
13	9
13	11
13	15
13	19
13	23
13	27
13	31
13	34
13	36
13	37
13	38
13	40
13	44
13	52
13	53
13	62
13	64
13	67
13	72
13	75
13	77
13	80
13	83
13	86
13	87
13	95
14	9
14	16
14	20
15	0
15	4
15	6
15	7
15	9
15	11
15	13
15	19
15	27
15	28
15	29
15	31
15	34
15	36
15	37
15	38
15	40
15	52
15	53
15	62
15	64
15	67
15	72
15	75
15	77
15	80
15	83
15	86
15	92
15	93
15	95
15	97
15	98
16	14
16	36
16	41
16	56
16	89
16	97
17	32
18	52
19	0
19	4
19	6
19	7
19	8
19	9
19	11
19	13
19	15
19	27
19	28
19	29
19	31
19	34
19	36
19	37
19	40
19	44
19	52
19	53
19	62
19	64
19	67
19	72
19	77
19	80
19	83
19	86
19	92
19	95
19	98
20	14
20	44
20	58
21	52
21	81
22	6
22	33
23	13
23	31
23	74
23	93
24	74
25	5
26	64
26	86
27	0
27	4
27	6
27	7
27	9
27	11
27	13
27	15
27	19
27	28
27	30
27	31
27	34
27	36
27	37
27	38
27	40
27	42
27	44
27	52
27	53
27	62
27	64
27	67
27	72
27	75
27	77
