0	1
0	2
0	17
0	28
0	79
1	0
1	17
1	19
1	28
1	52
1	53
1	79
2	0
2	17
2	19
2	28
2	34
2	52
2	53
7	53
7	78
7	80
7	84
9	22
10	96
11	48
11	86
17	0
17	1
17	2
17	19
17	52
17	79
19	1
19	2
19	17
19	28
19	52
19	53
19	79
22	9
28	0
28	1
28	2
28	19
28	52
28	53
28	79
34	2
40	64
48	11
51	92
52	1
52	2
52	17
52	19
52	28
52	53
52	79
52	88
53	1
53	2
53	7
53	19
53	28
53	52
53	78
53	79
53	84
64	40
65	78
65	84
78	7
78	53
78	65
78	84
79	0
79	1
79	17
79	19
79	28
79	52
79	53
80	7
84	7
84	53
84	65
84	78
86	11
88	52
92	51
96	10
